so_line_id,sales_order_id,line_no,material_code,description,category,quantity,unit,unit_price_usd,line_value_usd
SO-2024-0054-L01,SO-2024-0054,1,RAW-4402,Aluminium Extrusion 6061-T6,Raw Materials,81,kg,3.46,280.26
SO-2024-0054-L02,SO-2024-0054,2,RAW-4401,Steel HR Coil 3mm S235,Raw Materials,63,MT,699.63,44076.69
SO-2024-0054-L03,SO-2024-0054,3,ELEC-3303,Limit Switch IP67 Stainless,Electrical Components,43,pcs,14.05,604.15
SO-2024-0055-L01,SO-2024-0055,1,ELEC-3303,Limit Switch IP67 Stainless,Electrical Components,81,pcs,15.09,1222.29
SO-2024-0055-L02,SO-2024-0055,2,ELEC-3301,Servo Drive 5.5kW Siemens-compat,Electrical Components,46,pcs,1830.96,84224.16
SO-2024-0055-L03,SO-2024-0055,3,ELEC-3302,Encoder 2500 PPR Differential,Electrical Components,93,pcs,93.42,8688.06
SO-2024-0055-L04,SO-2024-0055,4,RAW-4401,Steel HR Coil 3mm S235,Raw Materials,45,MT,705.99,31769.55
SO-2024-0056-L01,SO-2024-0056,1,RAW-4403,Copper Busbar 40×4mm,Raw Materials,51,m,18.91,964.41
SO-2024-0056-L02,SO-2024-0056,2,MECH-2204,Spindle Bearing Set NSK 7210,Mechanical Parts,77,pcs,219.99,16939.23
SO-2024-0056-L03,SO-2024-0056,3,ELEC-3301,Servo Drive 5.5kW Siemens-compat,Electrical Components,74,pcs,1703.98,126094.52
SO-2024-0056-L04,SO-2024-0056,4,ELEC-3302,Encoder 2500 PPR Differential,Electrical Components,103,pcs,102.85,10593.55
SO-2024-0056-L05,SO-2024-0056,5,MECH-2205,Cast Iron Bed Section Grade 300,Mechanical Parts,98,kg,3.94,386.12
SO-2024-0056-L06,SO-2024-0056,6,RAW-4402,Aluminium Extrusion 6061-T6,Raw Materials,95,kg,3.09,293.55
SO-2024-0057-L01,SO-2024-0057,1,MECH-2203,Servo Coupling 14/19mm,Mechanical Parts,89,pcs,30.16,2684.24
SO-2024-0057-L02,SO-2024-0057,2,RAW-4401,Steel HR Coil 3mm S235,Raw Materials,59,MT,761.02,44900.18
SO-2024-0057-L03,SO-2024-0057,3,MECH-2205,Cast Iron Bed Section Grade 300,Mechanical Parts,14,kg,3.92,54.88
SO-2024-0057-L04,SO-2024-0057,4,MECH-2204,Spindle Bearing Set NSK 7210,Mechanical Parts,81,pcs,233.96,18950.76
SO-2024-0057-L05,SO-2024-0057,5,RAW-4403,Copper Busbar 40×4mm,Raw Materials,56,m,22.27,1247.12
SO-2024-0058-L01,SO-2024-0058,1,ELEC-3305,Power Supply 24VDC 20A DIN,Electrical Components,26,pcs,117.64,3058.64
SO-2024-0058-L02,SO-2024-0058,2,RAW-4401,Steel HR Coil 3mm S235,Raw Materials,10,MT,740.69,7406.9
SO-2024-0058-L03,SO-2024-0058,3,MECH-2202,Linear Guide Rail 1500mm,Mechanical Parts,87,pcs,168.71,14677.77
SO-2024-0058-L04,SO-2024-0058,4,RAW-4403,Copper Busbar 40×4mm,Raw Materials,56,m,25.73,1440.88
SO-2024-0058-L05,SO-2024-0058,5,MECH-2204,Spindle Bearing Set NSK 7210,Mechanical Parts,47,pcs,258.29,12139.63
SO-2024-0058-L06,SO-2024-0058,6,ELEC-3301,Servo Drive 5.5kW Siemens-compat,Electrical Components,60,pcs,1681.78,100906.8
SO-2024-0059-L01,SO-2024-0059,1,ELEC-3305,Power Supply 24VDC 20A DIN,Electrical Components,55,pcs,111.21,6116.55
SO-2024-0059-L02,SO-2024-0059,2,RAW-4402,Aluminium Extrusion 6061-T6,Raw Materials,91,kg,3.43,312.13
SO-2024-0059-L03,SO-2024-0059,3,RAW-4405,HDPE Rod 50mm dia,Raw Materials,69,m,12.9,890.1
SO-2024-0059-L04,SO-2024-0059,4,MECH-2204,Spindle Bearing Set NSK 7210,Mechanical Parts,8,pcs,234.14,1873.12
SO-2024-0059-L05,SO-2024-0059,5,ELEC-3303,Limit Switch IP67 Stainless,Electrical Components,42,pcs,17.33,727.86
SO-2024-0059-L06,SO-2024-0059,6,ELEC-3301,Servo Drive 5.5kW Siemens-compat,Electrical Components,15,pcs,1684.82,25272.3
SO-2024-0060-L01,SO-2024-0060,1,RAW-4403,Copper Busbar 40×4mm,Raw Materials,65,m,18.78,1220.7
SO-2024-0060-L02,SO-2024-0060,2,MECH-2204,Spindle Bearing Set NSK 7210,Mechanical Parts,97,pcs,244.84,23749.48
SO-2024-0060-L03,SO-2024-0060,3,ELEC-3304,PLC I/O Module 32-channel DI,Electrical Components,45,pcs,345.37,15541.65
SO-2024-0060-L04,SO-2024-0060,4,ELEC-3303,Limit Switch IP67 Stainless,Electrical Components,10,pcs,20.48,204.8
SO-2024-0060-L05,SO-2024-0060,5,ELEC-3301,Servo Drive 5.5kW Siemens-compat,Electrical Components,19,pcs,1656.78,31478.82
SO-2024-0061-L01,SO-2024-0061,1,ELEC-3304,PLC I/O Module 32-channel DI,Electrical Components,25,pcs,366.48,9162.0
SO-2024-0061-L02,SO-2024-0061,2,MECH-2203,Servo Coupling 14/19mm,Mechanical Parts,59,pcs,41.42,2443.78
SO-2024-0061-L03,SO-2024-0061,3,RAW-4405,HDPE Rod 50mm dia,Raw Materials,34,m,16.79,570.86
SO-2024-0062-L01,SO-2024-0062,1,MECH-2201,Precision Ball Screw Assy 25mm,Mechanical Parts,80,pcs,397.18,31774.4
SO-2024-0062-L02,SO-2024-0062,2,RAW-4402,Aluminium Extrusion 6061-T6,Raw Materials,5,kg,3.53,17.65
SO-2024-0062-L03,SO-2024-0062,3,ELEC-3305,Power Supply 24VDC 20A DIN,Electrical Components,31,pcs,104.74,3246.94
SO-2024-0062-L04,SO-2024-0062,4,MECH-2204,Spindle Bearing Set NSK 7210,Mechanical Parts,95,pcs,250.44,23791.8
SO-2024-0062-L05,SO-2024-0062,5,ELEC-3303,Limit Switch IP67 Stainless,Electrical Components,13,pcs,18.62,242.06
SO-2024-0063-L01,SO-2024-0063,1,MECH-2202,Linear Guide Rail 1500mm,Mechanical Parts,86,pcs,155.97,13413.42
SO-2024-0063-L02,SO-2024-0063,2,MECH-2205,Cast Iron Bed Section Grade 300,Mechanical Parts,54,kg,4.18,225.72
SO-2024-0063-L03,SO-2024-0063,3,RAW-4401,Steel HR Coil 3mm S235,Raw Materials,80,MT,700.28,56022.4
SO-2024-0063-L04,SO-2024-0063,4,ELEC-3303,Limit Switch IP67 Stainless,Electrical Components,50,pcs,20.76,1038.0
SO-2024-0063-L05,SO-2024-0063,5,ELEC-3304,PLC I/O Module 32-channel DI,Electrical Components,84,pcs,353.8,29719.2
SO-2024-0064-L01,SO-2024-0064,1,ELEC-3301,Servo Drive 5.5kW Siemens-compat,Electrical Components,44,pcs,1685.08,74143.52
SO-2024-0064-L02,SO-2024-0064,2,MECH-2202,Linear Guide Rail 1500mm,Mechanical Parts,52,pcs,169.27,8802.04
SO-2024-0064-L03,SO-2024-0064,3,MECH-2204,Spindle Bearing Set NSK 7210,Mechanical Parts,70,pcs,229.42,16059.4
SO-2024-0065-L01,SO-2024-0065,1,ELEC-3303,Limit Switch IP67 Stainless,Electrical Components,93,pcs,21.35,1985.55
SO-2024-0065-L02,SO-2024-0065,2,RAW-4401,Steel HR Coil 3mm S235,Raw Materials,27,MT,739.94,19978.38
SO-2024-0065-L03,SO-2024-0065,3,ELEC-3304,PLC I/O Module 32-channel DI,Electrical Components,67,pcs,363.11,24328.37
SO-2024-0066-L01,SO-2024-0066,1,MECH-2201,Precision Ball Screw Assy 25mm,Mechanical Parts,109,pcs,395.36,43094.24
SO-2024-0066-L02,SO-2024-0066,2,ELEC-3303,Limit Switch IP67 Stainless,Electrical Components,76,pcs,18.04,1371.04
SO-2024-0066-L03,SO-2024-0066,3,MECH-2203,Servo Coupling 14/19mm,Mechanical Parts,68,pcs,33.73,2293.64
SO-2024-0066-L04,SO-2024-0066,4,MECH-2204,Spindle Bearing Set NSK 7210,Mechanical Parts,67,pcs,230.78,15462.26
SO-2024-0067-L01,SO-2024-0067,1,MECH-2205,Cast Iron Bed Section Grade 300,Mechanical Parts,33,kg,4.06,133.98
SO-2024-0067-L02,SO-2024-0067,2,MECH-2201,Precision Ball Screw Assy 25mm,Mechanical Parts,26,pcs,411.23,10691.98
SO-2024-0067-L03,SO-2024-0067,3,RAW-4405,HDPE Rod 50mm dia,Raw Materials,77,m,16.46,1267.42
SO-2024-0068-L01,SO-2024-0068,1,RAW-4403,Copper Busbar 40×4mm,Raw Materials,110,m,24.05,2645.5
SO-2024-0068-L02,SO-2024-0068,2,ELEC-3304,PLC I/O Module 32-channel DI,Electrical Components,102,pcs,397.52,40547.04
SO-2024-0068-L03,SO-2024-0068,3,ELEC-3301,Servo Drive 5.5kW Siemens-compat,Electrical Components,74,pcs,1715.56,126951.44
SO-2024-0068-L04,SO-2024-0068,4,RAW-4404,Stainless 316L Sheet 2mm,Raw Materials,59,kg,3.91,230.69
SO-2024-0069-L01,SO-2024-0069,1,MECH-2205,Cast Iron Bed Section Grade 300,Mechanical Parts,104,kg,4.5,468.0
SO-2024-0069-L02,SO-2024-0069,2,ELEC-3301,Servo Drive 5.5kW Siemens-compat,Electrical Components,31,pcs,1893.21,58689.51
SO-2024-0069-L03,SO-2024-0069,3,MECH-2202,Linear Guide Rail 1500mm,Mechanical Parts,80,pcs,169.12,13529.6
SO-2024-0069-L04,SO-2024-0069,4,ELEC-3303,Limit Switch IP67 Stainless,Electrical Components,115,pcs,19.69,2264.35
SO-2024-0069-L05,SO-2024-0069,5,RAW-4403,Copper Busbar 40×4mm,Raw Materials,85,m,21.43,1821.55
SO-2024-0070-L01,SO-2024-0070,1,ELEC-3305,Power Supply 24VDC 20A DIN,Electrical Components,73,pcs,104.84,7653.32
SO-2024-0070-L02,SO-2024-0070,2,ELEC-3301,Servo Drive 5.5kW Siemens-compat,Electrical Components,73,pcs,1700.51,124137.23
SO-2024-0071-L01,SO-2024-0071,1,RAW-4405,HDPE Rod 50mm dia,Raw Materials,40,m,17.2,688.0
SO-2024-0071-L02,SO-2024-0071,2,RAW-4401,Steel HR Coil 3mm S235,Raw Materials,21,MT,753.13,15815.73
SO-2024-0071-L03,SO-2024-0071,3,MECH-2202,Linear Guide Rail 1500mm,Mechanical Parts,21,pcs,153.74,3228.54
SO-2024-0071-L04,SO-2024-0071,4,MECH-2203,Servo Coupling 14/19mm,Mechanical Parts,96,pcs,32.51,3120.96
SO-2024-0071-L05,SO-2024-0071,5,ELEC-3302,Encoder 2500 PPR Differential,Electrical Components,36,pcs,108.56,3908.16
SO-2024-0071-L06,SO-2024-0071,6,MECH-2201,Precision Ball Screw Assy 25mm,Mechanical Parts,91,pcs,395.71,36009.61
SO-2024-0072-L01,SO-2024-0072,1,ELEC-3303,Limit Switch IP67 Stainless,Electrical Components,70,pcs,20.0,1400.0
SO-2024-0072-L02,SO-2024-0072,2,MECH-2202,Linear Guide Rail 1500mm,Mechanical Parts,93,pcs,177.77,16532.61
SO-2024-0072-L03,SO-2024-0072,3,RAW-4401,Steel HR Coil 3mm S235,Raw Materials,52,MT,730.92,38007.84
SO-2024-0072-L04,SO-2024-0072,4,RAW-4404,Stainless 316L Sheet 2mm,Raw Materials,67,kg,4.16,278.72
SO-2024-0072-L05,SO-2024-0072,5,ELEC-3302,Encoder 2500 PPR Differential,Electrical Components,5,pcs,111.46,557.3
SO-2024-0073-L01,SO-2024-0073,1,RAW-4403,Copper Busbar 40×4mm,Raw Materials,55,m,19.74,1085.7
SO-2024-0073-L02,SO-2024-0073,2,ELEC-3304,PLC I/O Module 32-channel DI,Electrical Components,59,pcs,405.99,23953.41
SO-2024-0074-L01,SO-2024-0074,1,ELEC-3304,PLC I/O Module 32-channel DI,Electrical Components,114,pcs,378.83,43186.62
SO-2024-0074-L02,SO-2024-0074,2,ELEC-3305,Power Supply 24VDC 20A DIN,Electrical Components,48,pcs,126.3,6062.4
SO-2024-0074-L03,SO-2024-0074,3,MECH-2203,Servo Coupling 14/19mm,Mechanical Parts,102,pcs,28.68,2925.36
SO-2024-0074-L04,SO-2024-0074,4,RAW-4404,Stainless 316L Sheet 2mm,Raw Materials,17,kg,4.49,76.33
SO-2024-0075-L01,SO-2024-0075,1,ELEC-3303,Limit Switch IP67 Stainless,Electrical Components,117,pcs,19.2,2246.4
SO-2024-0075-L02,SO-2024-0075,2,MECH-2201,Precision Ball Screw Assy 25mm,Mechanical Parts,25,pcs,414.98,10374.5
SO-2024-0075-L03,SO-2024-0075,3,ELEC-3302,Encoder 2500 PPR Differential,Electrical Components,117,pcs,95.4,11161.8
SO-2024-0075-L04,SO-2024-0075,4,MECH-2204,Spindle Bearing Set NSK 7210,Mechanical Parts,88,pcs,228.02,20065.76
SO-2024-0075-L05,SO-2024-0075,5,MECH-2203,Servo Coupling 14/19mm,Mechanical Parts,15,pcs,33.21,498.15
SO-2024-0076-L01,SO-2024-0076,1,ELEC-3302,Encoder 2500 PPR Differential,Electrical Components,95,pcs,90.57,8604.15
SO-2024-0076-L02,SO-2024-0076,2,RAW-4401,Steel HR Coil 3mm S235,Raw Materials,32,MT,732.91,23453.12
SO-2024-0076-L03,SO-2024-0076,3,MECH-2202,Linear Guide Rail 1500mm,Mechanical Parts,21,pcs,165.78,3481.38
SO-2024-0077-L01,SO-2024-0077,1,RAW-4404,Stainless 316L Sheet 2mm,Raw Materials,21,kg,4.33,90.93
SO-2024-0077-L02,SO-2024-0077,2,MECH-2202,Linear Guide Rail 1500mm,Mechanical Parts,34,pcs,158.41,5385.94
SO-2024-0077-L03,SO-2024-0077,3,ELEC-3302,Encoder 2500 PPR Differential,Electrical Components,98,pcs,109.76,10756.48
SO-2024-0077-L04,SO-2024-0077,4,RAW-4402,Aluminium Extrusion 6061-T6,Raw Materials,18,kg,3.18,57.24
SO-2024-0078-L01,SO-2024-0078,1,MECH-2202,Linear Guide Rail 1500mm,Mechanical Parts,6,pcs,166.36,998.16
SO-2024-0078-L02,SO-2024-0078,2,ELEC-3304,PLC I/O Module 32-channel DI,Electrical Components,26,pcs,375.21,9755.46
SO-2024-0078-L03,SO-2024-0078,3,ELEC-3305,Power Supply 24VDC 20A DIN,Electrical Components,97,pcs,102.46,9938.62
SO-2024-0079-L01,SO-2024-0079,1,MECH-2202,Linear Guide Rail 1500mm,Mechanical Parts,101,pcs,149.31,15080.31
SO-2024-0079-L02,SO-2024-0079,2,RAW-4405,HDPE Rod 50mm dia,Raw Materials,98,m,14.3,1401.4
SO-2024-0079-L03,SO-2024-0079,3,MECH-2203,Servo Coupling 14/19mm,Mechanical Parts,59,pcs,32.4,1911.6
SO-2024-0080-L01,SO-2024-0080,1,ELEC-3304,PLC I/O Module 32-channel DI,Electrical Components,97,pcs,388.61,37695.17
SO-2024-0080-L02,SO-2024-0080,2,ELEC-3305,Power Supply 24VDC 20A DIN,Electrical Components,104,pcs,127.94,13305.76
SO-2024-0080-L03,SO-2024-0080,3,RAW-4404,Stainless 316L Sheet 2mm,Raw Materials,8,kg,4.73,37.84
SO-2024-0081-L01,SO-2024-0081,1,ELEC-3304,PLC I/O Module 32-channel DI,Electrical Components,105,pcs,411.83,43242.15
SO-2024-0081-L02,SO-2024-0081,2,MECH-2204,Spindle Bearing Set NSK 7210,Mechanical Parts,35,pcs,234.74,8215.9
SO-2024-0081-L03,SO-2024-0081,3,RAW-4402,Aluminium Extrusion 6061-T6,Raw Materials,19,kg,3.12,59.28
SO-2024-0081-L04,SO-2024-0081,4,ELEC-3302,Encoder 2500 PPR Differential,Electrical Components,86,pcs,104.04,8947.44
SO-2024-0081-L05,SO-2024-0081,5,MECH-2205,Cast Iron Bed Section Grade 300,Mechanical Parts,72,kg,4.62,332.64
SO-2024-0081-L06,SO-2024-0081,6,MECH-2201,Precision Ball Screw Assy 25mm,Mechanical Parts,6,pcs,419.48,2516.88
SO-2024-0082-L01,SO-2024-0082,1,ELEC-3304,PLC I/O Module 32-channel DI,Electrical Components,103,pcs,345.84,35621.52
SO-2024-0082-L02,SO-2024-0082,2,RAW-4401,Steel HR Coil 3mm S235,Raw Materials,80,MT,696.08,55686.4
SO-2024-0082-L03,SO-2024-0082,3,MECH-2203,Servo Coupling 14/19mm,Mechanical Parts,38,pcs,31.02,1178.76
SO-2024-0082-L04,SO-2024-0082,4,ELEC-3303,Limit Switch IP67 Stainless,Electrical Components,12,pcs,21.59,259.08
SO-2024-0083-L01,SO-2024-0083,1,ELEC-3302,Encoder 2500 PPR Differential,Electrical Components,73,pcs,102.52,7483.96
SO-2024-0083-L02,SO-2024-0083,2,RAW-4402,Aluminium Extrusion 6061-T6,Raw Materials,24,kg,3.15,75.6
SO-2024-0083-L03,SO-2024-0083,3,RAW-4405,HDPE Rod 50mm dia,Raw Materials,44,m,12.47,548.68
SO-2024-0083-L04,SO-2024-0083,4,MECH-2202,Linear Guide Rail 1500mm,Mechanical Parts,31,pcs,179.1,5552.1
SO-2024-0083-L05,SO-2024-0083,5,RAW-4401,Steel HR Coil 3mm S235,Raw Materials,24,MT,738.28,17718.72
SO-2024-0084-L01,SO-2024-0084,1,RAW-4402,Aluminium Extrusion 6061-T6,Raw Materials,12,kg,3.12,37.44
SO-2024-0084-L02,SO-2024-0084,2,ELEC-3302,Encoder 2500 PPR Differential,Electrical Components,60,pcs,91.13,5467.8
SO-2024-0084-L03,SO-2024-0084,3,RAW-4405,HDPE Rod 50mm dia,Raw Materials,83,m,15.65,1298.95
SO-2024-0084-L04,SO-2024-0084,4,MECH-2204,Spindle Bearing Set NSK 7210,Mechanical Parts,44,pcs,243.3,10705.2
SO-2024-0085-L01,SO-2024-0085,1,RAW-4402,Aluminium Extrusion 6061-T6,Raw Materials,68,kg,3.76,255.68
SO-2024-0085-L02,SO-2024-0085,2,MECH-2201,Precision Ball Screw Assy 25mm,Mechanical Parts,71,pcs,400.69,28448.99
SO-2024-0085-L03,SO-2024-0085,3,MECH-2203,Servo Coupling 14/19mm,Mechanical Parts,110,pcs,38.09,4189.9
SO-2024-0086-L01,SO-2024-0086,1,RAW-4403,Copper Busbar 40×4mm,Raw Materials,47,m,24.46,1149.62
SO-2024-0086-L02,SO-2024-0086,2,MECH-2201,Precision Ball Screw Assy 25mm,Mechanical Parts,39,pcs,400.95,15637.05
SO-2024-0087-L01,SO-2024-0087,1,ELEC-3303,Limit Switch IP67 Stainless,Electrical Components,114,pcs,18.54,2113.56
SO-2024-0087-L02,SO-2024-0087,2,ELEC-3304,PLC I/O Module 32-channel DI,Electrical Components,52,pcs,352.58,18334.16
SO-2024-0087-L03,SO-2024-0087,3,ELEC-3301,Servo Drive 5.5kW Siemens-compat,Electrical Components,103,pcs,1680.87,173129.61
SO-2024-0087-L04,SO-2024-0087,4,MECH-2201,Precision Ball Screw Assy 25mm,Mechanical Parts,78,pcs,406.96,31742.88
SO-2024-0087-L05,SO-2024-0087,5,RAW-4405,HDPE Rod 50mm dia,Raw Materials,19,m,13.37,254.03
SO-2024-0088-L01,SO-2024-0088,1,MECH-2201,Precision Ball Screw Assy 25mm,Mechanical Parts,54,pcs,416.81,22507.74
SO-2024-0088-L02,SO-2024-0088,2,ELEC-3303,Limit Switch IP67 Stainless,Electrical Components,27,pcs,21.45,579.15
SO-2024-0088-L03,SO-2024-0088,3,ELEC-3301,Servo Drive 5.5kW Siemens-compat,Electrical Components,114,pcs,1660.61,189309.54
SO-2024-0089-L01,SO-2024-0089,1,MECH-2204,Spindle Bearing Set NSK 7210,Mechanical Parts,39,pcs,251.3,9800.7
SO-2024-0089-L02,SO-2024-0089,2,ELEC-3302,Encoder 2500 PPR Differential,Electrical Components,78,pcs,98.07,7649.46
SO-2024-0089-L03,SO-2024-0089,3,RAW-4402,Aluminium Extrusion 6061-T6,Raw Materials,69,kg,3.51,242.19
SO-2024-0089-L04,SO-2024-0089,4,ELEC-3301,Servo Drive 5.5kW Siemens-compat,Electrical Components,11,pcs,1703.8,18741.8
SO-2024-0090-L01,SO-2024-0090,1,RAW-4404,Stainless 316L Sheet 2mm,Raw Materials,16,kg,4.41,70.56
SO-2024-0090-L02,SO-2024-0090,2,MECH-2205,Cast Iron Bed Section Grade 300,Mechanical Parts,6,kg,3.79,22.74
SO-2024-0090-L03,SO-2024-0090,3,RAW-4403,Copper Busbar 40×4mm,Raw Materials,42,m,22.51,945.42
SO-2024-0090-L04,SO-2024-0090,4,RAW-4405,HDPE Rod 50mm dia,Raw Materials,43,m,16.44,706.92
SO-2024-0090-L05,SO-2024-0090,5,ELEC-3301,Servo Drive 5.5kW Siemens-compat,Electrical Components,36,pcs,1789.18,64410.48
SO-2024-0091-L01,SO-2024-0091,1,RAW-4403,Copper Busbar 40×4mm,Raw Materials,8,m,19.86,158.88
SO-2024-0091-L02,SO-2024-0091,2,RAW-4405,HDPE Rod 50mm dia,Raw Materials,49,m,15.82,775.18
SO-2024-0091-L03,SO-2024-0091,3,MECH-2204,Spindle Bearing Set NSK 7210,Mechanical Parts,93,pcs,253.86,23608.98
SO-2024-0091-L04,SO-2024-0091,4,MECH-2203,Servo Coupling 14/19mm,Mechanical Parts,47,pcs,28.02,1316.94
SO-2024-0091-L05,SO-2024-0091,5,MECH-2201,Precision Ball Screw Assy 25mm,Mechanical Parts,89,pcs,395.05,35159.45
SO-2024-0091-L06,SO-2024-0091,6,ELEC-3302,Encoder 2500 PPR Differential,Electrical Components,99,pcs,107.63,10655.37
SO-2024-0092-L01,SO-2024-0092,1,MECH-2201,Precision Ball Screw Assy 25mm,Mechanical Parts,10,pcs,416.85,4168.5
SO-2024-0092-L02,SO-2024-0092,2,MECH-2203,Servo Coupling 14/19mm,Mechanical Parts,119,pcs,39.84,4740.96
SO-2024-0092-L03,SO-2024-0092,3,RAW-4402,Aluminium Extrusion 6061-T6,Raw Materials,57,kg,3.53,201.21
SO-2024-0092-L04,SO-2024-0092,4,MECH-2205,Cast Iron Bed Section Grade 300,Mechanical Parts,52,kg,3.93,204.36
SO-2024-0092-L05,SO-2024-0092,5,MECH-2202,Linear Guide Rail 1500mm,Mechanical Parts,100,pcs,147.97,14797.0
SO-2024-0093-L01,SO-2024-0093,1,ELEC-3305,Power Supply 24VDC 20A DIN,Electrical Components,12,pcs,110.22,1322.64
SO-2024-0093-L02,SO-2024-0093,2,RAW-4405,HDPE Rod 50mm dia,Raw Materials,21,m,13.42,281.82
SO-2024-0094-L01,SO-2024-0094,1,ELEC-3301,Servo Drive 5.5kW Siemens-compat,Electrical Components,14,pcs,1933.07,27062.98
SO-2024-0094-L02,SO-2024-0094,2,ELEC-3303,Limit Switch IP67 Stainless,Electrical Components,22,pcs,20.24,445.28
SO-2024-0094-L03,SO-2024-0094,3,MECH-2205,Cast Iron Bed Section Grade 300,Mechanical Parts,79,kg,3.37,266.23
SO-2024-0094-L04,SO-2024-0094,4,MECH-2204,Spindle Bearing Set NSK 7210,Mechanical Parts,18,pcs,218.22,3927.96
SO-2024-0095-L01,SO-2024-0095,1,RAW-4403,Copper Busbar 40×4mm,Raw Materials,64,m,20.12,1287.68
SO-2024-0095-L02,SO-2024-0095,2,MECH-2204,Spindle Bearing Set NSK 7210,Mechanical Parts,20,pcs,214.52,4290.4
SO-2024-0095-L03,SO-2024-0095,3,ELEC-3303,Limit Switch IP67 Stainless,Electrical Components,108,pcs,19.49,2104.92
SO-2024-0095-L04,SO-2024-0095,4,MECH-2205,Cast Iron Bed Section Grade 300,Mechanical Parts,110,kg,4.33,476.3
SO-2024-0096-L01,SO-2024-0096,1,MECH-2202,Linear Guide Rail 1500mm,Mechanical Parts,50,pcs,158.87,7943.5
SO-2024-0096-L02,SO-2024-0096,2,RAW-4402,Aluminium Extrusion 6061-T6,Raw Materials,11,kg,3.51,38.61
SO-2024-0096-L03,SO-2024-0096,3,MECH-2204,Spindle Bearing Set NSK 7210,Mechanical Parts,38,pcs,251.0,9538.0
SO-2024-0097-L01,SO-2024-0097,1,RAW-4402,Aluminium Extrusion 6061-T6,Raw Materials,107,kg,3.61,386.27
SO-2024-0097-L02,SO-2024-0097,2,ELEC-3304,PLC I/O Module 32-channel DI,Electrical Components,20,pcs,340.96,6819.2
SO-2024-0097-L03,SO-2024-0097,3,MECH-2204,Spindle Bearing Set NSK 7210,Mechanical Parts,111,pcs,249.05,27644.55
SO-2024-0097-L04,SO-2024-0097,4,MECH-2202,Linear Guide Rail 1500mm,Mechanical Parts,33,pcs,149.58,4936.14
SO-2024-0097-L05,SO-2024-0097,5,ELEC-3303,Limit Switch IP67 Stainless,Electrical Components,110,pcs,17.2,1892.0
SO-2024-0097-L06,SO-2024-0097,6,RAW-4405,HDPE Rod 50mm dia,Raw Materials,92,m,15.78,1451.76
SO-2024-0098-L01,SO-2024-0098,1,MECH-2201,Precision Ball Screw Assy 25mm,Mechanical Parts,30,pcs,416.1,12483.0
SO-2024-0098-L02,SO-2024-0098,2,MECH-2202,Linear Guide Rail 1500mm,Mechanical Parts,61,pcs,173.33,10573.13
SO-2024-0099-L01,SO-2024-0099,1,MECH-2201,Precision Ball Screw Assy 25mm,Mechanical Parts,11,pcs,386.72,4253.92
SO-2024-0099-L02,SO-2024-0099,2,ELEC-3303,Limit Switch IP67 Stainless,Electrical Components,78,pcs,17.47,1362.66
SO-2024-0100-L01,SO-2024-0100,1,MECH-2203,Servo Coupling 14/19mm,Mechanical Parts,40,pcs,34.24,1369.6
SO-2024-0100-L02,SO-2024-0100,2,ELEC-3301,Servo Drive 5.5kW Siemens-compat,Electrical Components,24,pcs,1660.39,39849.36
SO-2024-0100-L03,SO-2024-0100,3,MECH-2204,Spindle Bearing Set NSK 7210,Mechanical Parts,84,pcs,240.85,20231.4
SO-2024-0100-L04,SO-2024-0100,4,RAW-4405,HDPE Rod 50mm dia,Raw Materials,87,m,13.77,1197.99
SO-2024-0100-L05,SO-2024-0100,5,MECH-2205,Cast Iron Bed Section Grade 300,Mechanical Parts,57,kg,4.61,262.77
SO-2024-0101-L01,SO-2024-0101,1,ELEC-3302,Encoder 2500 PPR Differential,Electrical Components,118,pcs,109.52,12923.36
SO-2024-0101-L02,SO-2024-0101,2,MECH-2204,Spindle Bearing Set NSK 7210,Mechanical Parts,36,pcs,241.54,8695.44
SO-2024-0101-L03,SO-2024-0101,3,RAW-4401,Steel HR Coil 3mm S235,Raw Materials,107,MT,738.93,79065.51
SO-2024-0102-L01,SO-2024-0102,1,ELEC-3304,PLC I/O Module 32-channel DI,Electrical Components,69,pcs,365.73,25235.37
SO-2024-0102-L02,SO-2024-0102,2,RAW-4403,Copper Busbar 40×4mm,Raw Materials,39,m,19.44,758.16
SO-2024-0102-L03,SO-2024-0102,3,ELEC-3303,Limit Switch IP67 Stainless,Electrical Components,45,pcs,18.78,845.1
SO-2024-0102-L04,SO-2024-0102,4,ELEC-3301,Servo Drive 5.5kW Siemens-compat,Electrical Components,8,pcs,1918.73,15349.84
SO-2024-0102-L05,SO-2024-0102,5,ELEC-3305,Power Supply 24VDC 20A DIN,Electrical Components,104,pcs,104.83,10902.32
SO-2024-0103-L01,SO-2024-0103,1,MECH-2202,Linear Guide Rail 1500mm,Mechanical Parts,35,pcs,154.33,5401.55
SO-2024-0103-L02,SO-2024-0103,2,MECH-2204,Spindle Bearing Set NSK 7210,Mechanical Parts,109,pcs,249.56,27202.04
SO-2024-0103-L03,SO-2024-0103,3,RAW-4401,Steel HR Coil 3mm S235,Raw Materials,99,MT,695.03,68807.97
SO-2024-0104-L01,SO-2024-0104,1,RAW-4405,HDPE Rod 50mm dia,Raw Materials,35,m,15.56,544.6
SO-2024-0104-L02,SO-2024-0104,2,RAW-4404,Stainless 316L Sheet 2mm,Raw Materials,108,kg,4.61,497.88
SO-2024-0104-L03,SO-2024-0104,3,MECH-2203,Servo Coupling 14/19mm,Mechanical Parts,50,pcs,40.8,2040.0
